,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
receiving_fumbles_lost,0.055253735675253636,0.04350484022821907,-0.030019116489463652,-0.04374153236356077,-0.06540700753388189,-0.004195805403128094,0.45790659079244594,-0.10693511749069323,-0.04658907009346054,0.01329454081943128,0.0013349663775801181,0.002663782432757638,0.0178478564235726,-0.004438262864416247,0.033657927076025516,-0.004453522726546853,0.013199498967493322,0.013000112518325852,0.039969566120656864,-0.0012951980954755123,0.009382889951002693,0.046119458121135846,0.09499664539231635,0.17317149139950355,-0.04790804068479232,0.0729805781860081,-0.2462803936168785,-0.08961603787260372,-0.32266278188301317,-0.4403409829057741
receiving_air_yards,0.1126584515168836,0.09723570116194209,0.06511922920682596,-0.10798547454135132,0.1527896420627957,0.04531901872148028,-0.02804243198681148,0.03201458239286566,-0.08452035975773906,0.02762831616468204,0.013454801985016397,0.01579427738052278,0.10949326759717294,-0.09507094405498798,0.1400936331263399,-0.024374971315102113,0.055991994010265916,-0.012092084258828472,0.006692062589775806,-0.033415389061638705,-0.0992122970793271,0.12414275055658547,0.0996838823854477,-0.03762982176221946,0.07468797796006466,0.027307121478916077,-0.015032670190367175,-0.14198623720588377,-0.042719992880098555,0.12999625941953766
receiving_yards_after_catch,0.10237028877514967,0.08986456380321887,-0.08998271172134564,-0.059298628995811495,0.1634759040200376,0.022882698603293162,-0.011450240688314036,-0.09178213472237749,-0.017888981209053394,0.021136128282677257,-0.02281640987567996,-0.02120259761436565,-0.05816326178526863,0.01657190099283575,-0.14267774548263132,0.010832483132549316,-0.2915511459291258,0.009777506651378626,0.05965214244521961,-0.15576023410212317,-0.09624709319289361,-0.030762637551699435,-0.13809273505500758,0.1976117032784033,0.05256008377659054,0.009771434545782078,-0.04837668030310341,-0.0622824475075553,0.022653724576542026,0.05489110415390612
receiving_first_downs,0.1353663776002909,0.11529940429901674,-0.003999731159244904,-0.08377254410839792,-0.0862000188230808,0.018676296304509024,-0.0244145283636677,0.01513976261377074,0.0370093150096355,-0.020101949925598446,-0.009124763441574736,-0.014838392710358252,0.005030775187157034,0.04940314194026425,-0.009556836081528198,0.012424106733795213,0.009366221141834741,0.015472836008967315,-0.0203056103299579,0.024540968530947966,0.0026947029432053036,-0.0025567976797866553,0.06991808691526237,0.07710662266021617,-0.015460791916015258,0.016679617011467127,-0.050742357929731446,-0.0003419619040342881,0.03481620156933169,0.06665851049011046
receiving_epa,0.09768479004942739,0.09318350175401562,0.022859531122901133,-0.04395104283929752,-0.18126234725757498,0.01903424585772064,-0.09588201280163972,-0.004973320413408336,0.05654307940381758,-0.01650518707852694,-0.017829654461924613,-0.05689010730858942,-0.07338621966512979,0.14741929510819363,0.03342072990537554,0.03336566079675234,0.009133797618439654,0.2108083354259565,0.35923579105145703,-0.010981623172299523,0.12969342497723274,0.11917610345187694,-0.04383047908813436,0.019201849485017113,-0.035823441391020165,0.016419771107219427,-0.10213320479759727,0.1687016506648059,0.11069212497498059,0.052328490425421384
receiving_2pt_conversions,0.03982315819125249,0.03596088856628792,0.005260136019893758,-0.042183470465445995,-0.003660492560521028,0.00120917907696236,-0.01569487998772768,-0.023995325848071465,0.01416569426564702,-0.2554060298867291,-0.11444847647122043,0.6181290221099784,-0.13150275825406568,-0.02575465474114679,0.018084732582835578,-0.01589242733521153,-0.003854647478365261,-0.003917055765729456,0.028100265425528372,-0.010315701875251323,-0.008121718559971845,0.012754414882063497,0.0007438045308499156,0.022121513572264512,0.0016142956348357681,0.0077901669842557015,-0.0057560400147808315,-0.01723012263914104,-0.005080326334381948,0.03334722069145371
racr,0.046985907335540214,0.023906175278904783,0.031973759081748265,-0.06364946095963125,0.08478439818590577,-0.012291104019236209,-0.004979849227111529,-0.06114838095338468,-0.1439417754223809,0.11214978785073157,0.15323930282114034,-0.051020213774987784,-0.5901464929840777,0.08632827051809196,0.15156446587391875,-0.0047548390223041675,0.07897965133245721,-0.022494538323334763,-0.12483120361102827,0.03163464741389365,-0.021672295976683402,0.003372044376977265,0.014830761187826176,0.01217013055080319,0.022325472174409465,0.021127191973612562,-0.02759519535420315,-0.026888606582980694,-0.020747643901156274,0.05199704235209325
target_share,0.13523425306190578,0.10864187929561024,-0.04446884976311345,-0.07883186106552748,-0.08294317295325929,0.010921781454233837,-0.006355788453075947,0.030032095586537647,0.03553669288240848,-0.016398888677793756,-0.009068487353373818,-0.01227227045298334,0.00671371188465462,0.018905490222213175,-0.02687099745311548,0.0004326069214672972,0.016014024436701163,-0.0670850598534112,-0.10968688026611066,0.03000229716113768,-0.028267257434553984,-0.010624629886879686,0.07789807657324156,0.07519283061294588,-0.0776518987441517,3.693431298031521e-05,-0.040295265308258416,0.02098767176759061,0.018073932798402834,0.040862464326415944
air_yards_share,0.11446209722066239,0.09815747266842872,0.06849465316778434,-0.10819796579320569,0.13804453871735187,0.04578315160176365,-0.029617923849444155,0.03171573029670981,-0.08721976562403612,0.03357948391759019,0.02095954725050774,0.004589373023743209,0.07166851541074964,-0.07870601541634283,0.15872684202425918,-0.025011096637621626,0.047962936700465246,0.006217568322841031,0.08751047898375104,-0.06402070034701952,-0.11501452714784746,0.17300053749913108,0.08631987087777876,-0.04998830461188239,0.038986480402817804,0.014542896711827966,-0.03398024221010269,-0.026607402062596073,-0.011725402576759006,0.0628591901829914
wopr_x,0.12226569419848056,0.10338517213483088,0.014988616494785877,-0.10377023697860631,0.16541491553938983,0.039924645044588015,-0.024189447564215285,-0.004999041793618919,-0.07543131883756037,0.029928650832670906,0.01020014959027342,-0.0027445156970514546,0.03109112209369792,-0.060167336557565794,0.06841353793919254,-0.019568856296352754,-0.06268938557005108,-0.022745186936064372,0.06447181106179344,-0.09569655623925993,-0.12515063860536565,0.10476836910588705,0.04044167354632213,0.029702819768893017,0.04488596301915642,0.015768477477072728,-0.03947568278262222,-0.02443837478422821,0.004106565637758063,0.060009509147393475
